gsis_id,season,source,pass_yards,pass_tds,interceptions,rush_yards,rush_tds,receptions,rec_yards,rec_tds,points
00-0041523,2026,espn,0.0,0.0,0.0,0.0,0.0,43.89558102,584.5561227,2.141757775,115.20173994
00-0041524,2026,espn,0.0,0.0,0.0,0.0,0.0,18.09957795,174.369898,0.757841441,40.083616396000004
00-0041525,2026,espn,0.0,0.0,0.0,0.0,0.0,27.38429078,356.9883679,1.32702586,71.04528273
00-0041526,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041527,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041528,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041529,2026,espn,0.0,0.0,0.0,0.0,0.0,12.78071579,161.0387545,0.409767098,31.343193827999997
00-0041531,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041533,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041537,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041538,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041543,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041544,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041545,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041546,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041547,2026,espn,0.0,0.0,0.0,34.96445471,0.206494955,58.67937509,738.9375877,3.146732182,156.188942153
00-0041549,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041550,2026,espn,0.0,0.0,0.0,11.33324509,0.100696091,9.532438621,121.6640469,0.711708851,27.706597472
00-0041552,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041553,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041555,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041556,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041557,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041558,2026,espn,0.0,0.0,0.0,0.0,0.0,3.645063338,33.77632578,0.281117925,8.709403466
00-0041561,2026,espn,450.5173533,2.56952829,1.501356342,29.42556969,0.285532202,0.0,0.0,0.0,29.951844789000006
00-0041562,2026,espn,3058.869063,14.17795709,10.51116325,226.1100355,1.918352408,0.0,0.0,0.0,192.165382378
00-0041563,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041565,2026,espn,160.297133,0.857736379,0.495802251,5.650407911,0.053908984,0.0,0.0,0.0,9.739721029100002
00-0041568,2026,espn,146.3434455,1.19438942,0.585870895,4.825146053,0.061705171,0.0,0.0,0.0,10.312299341300001
00-0041569,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAI173035,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAS569019,2026,espn,0.0,0.0,0.0,362.2225708,2.230929709,8.384069899,59.97886433,0.273240022,65.629231798
